#      step        H        error
365           -0.397511          0.00325955
366           -0.435753          0.00277941
367           -0.433655          0.00300946
368           -0.450433          0.00261557
369           -0.445194          0.00281549
370           -0.444597           0.0026933
371            -0.43183          0.00256987
372           -0.444395          0.00226934
373           -0.434897          0.00287211
374           -0.408914          0.00353698
375           -0.429398          0.00333141
376           -0.435533          0.00276352
377           -0.388561          0.00391416
378           -0.406697          0.00413288
379           -0.417653          0.00303236
380           -0.408834          0.00416132
381           -0.402801          0.00378042
382           -0.381126          0.00411227
383           -0.424184          0.00304782
384           -0.434403          0.00315045
385           -0.418705          0.00364009
386           -0.426243          0.00319875
387           -0.419697          0.00333801
388           -0.412096          0.00360853
389           -0.408848          0.00356739
390           -0.356343          0.00391464
391           -0.439898          0.00296182
392           -0.417787          0.00351553
393             -0.4389          0.00282435
394             -0.4447          0.00246911
395           -0.433954          0.00276287
396           -0.432612          0.00284516
397           -0.440558          0.00251297
398           -0.440886          0.00268305
399           -0.437193          0.00307217
400           -0.443174          0.00247979
401           -0.443258          0.00259114
402           -0.446837          0.00239046
403           -0.445943          0.00247873
404           -0.443944          0.00243535
405           -0.447823           0.0022054
406           -0.435955          0.00264128
407           -0.442243          0.00288559
408           -0.419592          0.00294594
409            -0.41633          0.00356555
410           -0.438801          0.00280778
411            -0.43184           0.0025506
412           -0.427626          0.00310399
413           -0.426929           0.0031528
414           -0.425276          0.00348114
415           -0.430876           0.0038656
416           -0.433435          0.00207568
417           -0.420002          0.00246792
418           -0.417927          0.00308811
419           -0.392344          0.00374679
420           -0.380071          0.00380867
421           -0.385391          0.00370969
422           -0.363047          0.00416541
423           -0.390262           0.0039568
424           -0.390163          0.00374984
425           -0.387769          0.00386892
426           -0.391503          0.00399124
427           -0.383582          0.00356671
428           -0.355575          0.00391607
429           -0.410761          0.00267799
430           -0.391111          0.00278555
431           -0.425072          0.00326231
432           -0.401902          0.00303734
433           -0.422313          0.00259061
434           -0.424962           0.0029168
435           -0.416982          0.00307928
436           -0.411478          0.00303836
437           -0.425455          0.00310879
438           -0.424684          0.00259524
439            -0.43884          0.00281209
440            -0.39877          0.00321858
441           -0.430938          0.00255722
442           -0.438475          0.00225062
443           -0.443351           0.0026531
444           -0.437323          0.00257123
445           -0.440728            0.002437
446           -0.445633          0.00276814
447           -0.443631          0.00255149
448           -0.444308          0.00249384
449           -0.425193          0.00295851
450            -0.43926           0.0032081
451           -0.439018          0.00253871
452           -0.433173          0.00263797
453           -0.429411           0.0032926
454           -0.430006          0.00353776
455           -0.411711          0.00365343
456           -0.407411          0.00310424
457           -0.412238          0.00406657
458           -0.434141          0.00301862
459            -0.43357          0.00297238
460           -0.439206          0.00267375
461           -0.438316          0.00301215
462           -0.438247          0.00294371
