#      step        mu        sigma
354            0.852184            0.621036
355            0.801426            0.617539
356            0.790621             0.59116
357            0.772785            0.567001
358            0.796784            0.550112
359            0.789445            0.609605
360            0.809013            0.617641
361            0.807267            0.580681
362            0.824401            0.577658
363            0.863385            0.567462
364            0.883129            0.559579
365            0.873993              0.5655
366            0.854128            0.609894
367            0.844966            0.606707
368            0.802099            0.610547
369            0.795424            0.619494
370            0.798739            0.624045
371            0.747205            0.627105
372            0.783417            0.631599
373            0.805159             0.58109
374            0.831925            0.560748
375            0.834361            0.578486
376            0.833971            0.584275
377            0.852121            0.549239
378            0.891713            0.589032
379            0.883094             0.59758
380             0.88725            0.584869
381            0.893915            0.594633
382            0.887811            0.556833
383            0.875793            0.591512
384            0.842206            0.593922
385            0.838022            0.565948
386            0.860384            0.607051
387            0.879318            0.598363
388            0.858359            0.575176
389            0.865317            0.567264
390            0.883667              0.5399
391            0.848373             0.59653
392            0.818181            0.558892
393            0.807628            0.595236
394            0.791675            0.617635
395            0.774245            0.593928
396            0.771608            0.594081
397             0.78738            0.589277
398            0.777983            0.592294
399            0.811323            0.582885
400            0.790717            0.599107
401            0.794212            0.616464
402             0.79825            0.606283
403            0.813217            0.605267
404            0.778595            0.620862
405             0.78532            0.628639
406            0.763622            0.616923
407            0.790123            0.592757
408            0.770859            0.570407
409            0.778144            0.561754
410            0.776014            0.596457
411            0.748824            0.600098
412            0.769001             0.58323
413            0.771397             0.57672
414            0.765195            0.571284
415            0.750533            0.589426
416            0.742952            0.606016
417            0.722257            0.632766
418            0.732348            0.672041
419            0.698413            0.691146
420            0.685603             0.70656
421            0.675865            0.710774
422            0.672001            0.734445
423            0.697918            0.699805
424            0.694603            0.701567
425            0.688847            0.690604
426            0.692577            0.695668
427            0.665783            0.658625
428            0.625502            0.668115
429            0.698605            0.616386
430            0.673846            0.614966
431            0.725007            0.617965
432            0.687137             0.59278
433            0.723279            0.635341
434            0.723448            0.645707
435            0.726707            0.644902
436            0.746939            0.688416
437            0.729596            0.639848
438             0.72534            0.621117
439            0.745893            0.606844
440            0.701978            0.581067
441            0.728982            0.617637
442            0.773183            0.591944
443            0.799852             0.60317
444            0.799061             0.59171
445             0.78208            0.597984
446            0.795703            0.611436
447            0.770607            0.606711
448            0.785163            0.598875
449            0.806156            0.575053
450            0.810785            0.585944
451            0.776146            0.598702
452            0.784007            0.588533
453            0.793276             0.57249
454            0.766642            0.571884
455            0.767056            0.563569
456            0.736512            0.562016
457            0.758725            0.563589
458            0.796476            0.577737
459            0.791841            0.581711
460             0.80162            0.598868
461            0.828076            0.596373
462            0.822997            0.598022
463            0.821227            0.628514
464            0.794658            0.613186
465            0.803594             0.62163
466            0.822516            0.613678
467            0.822543             0.61284
468            0.796743            0.615448
469            0.808763            0.598155
470            0.793576            0.580234
471            0.831937            0.589691
472             0.85029            0.594345
473             0.84343            0.592391
474            0.838543            0.576844
475            0.847423            0.554964
476            0.871233            0.611937
477            0.849851            0.626626
478            0.838942            0.603682
479            0.853993            0.591588
480            0.862596            0.589676
481            0.845155             0.58636
482            0.829382            0.580561
483            0.834445            0.563943
484            0.846443            0.584783
485            0.847105            0.591125
486            0.848631            0.573013
487            0.844159             0.58921
488            0.854965            0.609036
489            0.845508             0.62458
490            0.852291            0.626614
491            0.844998            0.624059
492            0.834373            0.624198
493            0.805123            0.628157
494            0.793685            0.645097
495            0.763733            0.654303
496            0.755061            0.656289
497            0.757856            0.698435
498            0.755258            0.657232
499            0.778137            0.680419
500            0.778859             0.68638
501            0.779393              0.6728
502            0.758215            0.670278
503            0.763145            0.667054
504            0.766271            0.659038
505            0.777905            0.650941
506            0.797208            0.690969
507            0.779071            0.643124
508             0.73991            0.644896
509            0.745175            0.634919
510            0.741573            0.626554
511            0.730337            0.627566
512            0.746181             0.62134
513            0.747913            0.615203
514            0.717947             0.60951
515            0.732496            0.610424
516            0.723155            0.599443
517            0.738456            0.599016
518            0.754285            0.610606
519            0.739035            0.633878
520            0.747217             0.63523
521            0.729817            0.630272
522            0.714364            0.647405
523            0.702469            0.650275
524            0.718884            0.653068
525            0.719663            0.634332
526            0.718757            0.641173
527            0.708061             0.65982
528             0.71349              0.6611
529            0.697833             0.64608
530            0.701304            0.636059
531            0.742877            0.642751
532            0.737563            0.658771
533            0.744902            0.651689
534             0.72361            0.653214
535            0.728609            0.661071
536            0.729184            0.684379
537            0.747233             0.66526
538            0.735226            0.677211
539            0.754281            0.681874
540            0.758472            0.697446
541            0.776451            0.683911
542            0.756594            0.677909
543            0.754648            0.679888
544             0.74718            0.662915
545            0.724796            0.674475
546            0.773852            0.640507
