#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
          12     5.54677   0.0432292   0.0309005
          12     5.77317    0.003125  0.00202255
          12     5.99957           0           0
          12     6.22597           0           0
          12     6.45237           0           0
          12     6.67877           0           0
          13    0.113199    0.284885   0.0580419
          13    0.339598     1.43742    0.133287
          13    0.565997      3.6621    0.186614
          13    0.792396     6.51979    0.476955
          13      1.0188      8.8055    0.353082
          13     1.24519     11.4635    0.553204
          13     1.47159      11.749    0.333165
          13     1.69799     12.6084    0.361033
          13     1.92439     11.2413    0.362797
          13     2.15079     10.3183    0.392556
          13     2.37719      7.8971    0.303647
          13     2.60359     6.64315    0.434032
          13     2.82999     4.94294    0.275356
          13     3.05639     3.37708    0.196269
          13     3.28278     2.40829    0.197691
          13     3.50918     1.59248    0.198025
          13     3.73558     1.20183    0.137476
          13     3.96198    0.625385   0.0893784
          13     4.18838    0.463192   0.0766273
          13     4.41478    0.154558   0.0324477
          13     4.64118    0.110942   0.0381661
          13     4.86758    0.220404     0.07565
          13     5.09398    0.172558   0.0649695
          13     5.32037   0.0571346   0.0317019
          13     5.54677   0.0399038   0.0287019
          13     5.77317  0.00288462   0.0018812
          13     5.99957           0           0
          13     6.22597           0           0
          13     6.45237           0           0
          13     6.67877           0           0
          14    0.113199    0.275839   0.0545963
          14    0.339598     1.47914    0.130132
          14    0.565997     3.65282    0.173515
          14    0.792396     6.46613    0.445896
          14      1.0188     8.79468    0.328028
          14     1.24519     11.5085    0.515518
          14     1.47159     11.6862    0.315231
          14     1.69799     12.5632    0.338064
          14     1.92439     11.1925    0.340147
          14     2.15079     10.3547      0.3662
          14     2.37719     8.07634    0.330656
          14     2.60359     6.71495    0.408924
          14     2.82999     4.93988    0.255704
          14     3.05639      3.3793    0.182262
          14     3.28278     2.37564    0.186246
          14     3.50918     1.54989    0.188404
          14     3.73558     1.19811    0.127707
          14     3.96198    0.616232   0.0834615
          14     4.18838    0.468732   0.0713539
          14     4.41478    0.146518   0.0311102
          14     4.64118    0.103018   0.0362533
          14     4.86758    0.204661   0.0718658
          14     5.09398    0.160232   0.0614869
          14     5.32037   0.0530536    0.029699
          14     5.54677   0.0370536   0.0267929
          14     5.77317  0.00267857  0.00175808
          14     5.99957           0           0
          14     6.22597           0           0
          14     6.45237           0           0
          14     6.67877           0           0
          15    0.113199    0.282817   0.0514005
          15    0.339598     1.54388    0.136615
          15    0.565997     3.82375    0.231291
          15    0.792396     6.48767     0.41669
          15      1.0188     8.76362    0.307626
          15     1.24519     11.5708    0.484898
          15     1.47159     11.7648    0.303866
          15     1.69799     12.4491    0.334242
          15     1.92439     11.0779    0.336227
          15     2.15079     10.1835    0.379687
          15     2.37719     7.93485     0.33753
          15     2.60359     6.72475     0.38178
          15     2.82999     4.92907    0.238886
          15     3.05639      3.4665    0.189827
          15     3.28278     2.39002    0.174383
          15     3.50918     1.62433    0.189982
          15     3.73558     1.23022    0.123164
          15     3.96198       0.626   0.0784669
          15     4.18838     0.45165   0.0686112
          15     4.41478    0.139083   0.0299113
          15     4.64118     0.10235   0.0338426
          15     4.86758    0.192217   0.0681436
          15     5.09398    0.154533   0.0576512
          15     5.32037   0.0495167   0.0279289
          15     5.54677   0.0345833   0.0251203
          15     5.77317      0.0025  0.00164992
          15     5.99957           0           0
          15     6.22597           0           0
          15     6.45237           0           0
          15     6.67877           0           0
          16    0.113199    0.284297   0.0482093
          16    0.339598     1.54714    0.128115
          16    0.565997     3.85423    0.218835
          16    0.792396     6.39063    0.401787
          16      1.0188     8.66272    0.304497
          16     1.24519     11.6077    0.455998
          16     1.47159     11.7932    0.286197
          16     1.69799     12.4003    0.316886
          16     1.92439     11.1383    0.320598
          16     2.15079     10.1835    0.355956
          16     2.37719     7.97786    0.319163
          16     2.60359     6.76955    0.360537
          16     2.82999     4.95644    0.225518
          16     3.05639     3.53925    0.191396
          16     3.28278     2.38966    0.163485
          16     3.50918     1.61422    0.178377
          16     3.73558      1.1925    0.121103
          16     3.96198    0.620766   0.0737371
          16     4.18838    0.443563   0.0647979
          16     4.41478    0.131828   0.0289083
          16     4.64118   0.0959531   0.0323263
          16     4.86758    0.180203    0.064935
          16     5.09398    0.144875   0.0548511
          16     5.32037   0.0464219   0.0263542
          16     5.54677   0.0324219   0.0236431
          16     5.77317  0.00234375  0.00155418
          16     5.99957           0           0
          16     6.22597           0           0
          16     6.45237           0           0
          16     6.67877           0           0
          17    0.113199    0.278132   0.0457659
          17    0.339598     1.53204    0.121465
          17    0.565997     3.84076    0.206377
          17    0.792396     6.38579    0.378182
          17      1.0188     8.61003    0.291108
          17     1.24519      11.621    0.429368
          17     1.47159     11.8117     0.26996
          17     1.69799     12.3813    0.298818
          17     1.92439     11.1066    0.303304
          17     2.15079     10.2748    0.346527
          17     2.37719     7.97472    0.300404
          17     2.60359      6.8569    0.349751
          17     2.82999     4.96884    0.212593
          17     3.05639      3.5909    0.186976
          17     3.28278     2.40487    0.154574
          17     3.50918     1.59596    0.168816
          17     3.73558     1.15035    0.121092
          17     3.96198    0.595926   0.0734643
          17     4.18838    0.422588   0.0642913
          17     4.41478    0.124074   0.0282288
          17     4.64118   0.0903088   0.0309136
          17     4.86758    0.169603   0.0619745
          17     5.09398    0.136353   0.0522824
          17     5.32037   0.0436912    0.024945
          17     5.54677   0.0305147   0.0223291
          17     5.77317  0.00220588  0.00146886
          17     5.99957           0           0
          17     6.22597           0           0
          17     6.45237           0           0
          17     6.67877           0           0
          18    0.113199    0.263847    0.045398
          18    0.339598      1.5154    0.115852
          18    0.565997     3.78231    0.203022
          18    0.792396     6.33668    0.360347
          18      1.0188     8.54986    0.281085
          18     1.24519     11.6198    0.405516
          18     1.47159     11.9059    0.270898
          18     1.69799     12.5359    0.319728
          18     1.92439     11.1535    0.290057
          18     2.15079     10.1849    0.338738
          18     2.37719      7.9189    0.288854
          18     2.60359     6.90494    0.333604
          18     2.82999     5.08685    0.231227
          18     3.05639     3.59682    0.176682
          18     3.28278     2.38411    0.147374
          18     3.50918     1.59547    0.159438
          18     3.73558     1.12363    0.117277
          18     3.96198    0.569444   0.0740022
          18     4.18838    0.407292   0.0625128
          18     4.41478       0.118   0.0273061
          18     4.64118   0.0852917   0.0296005
          18     4.86758    0.160181   0.0592434
          18     5.09398    0.128778   0.0499236
          18     5.32037   0.0412639    0.023677
          18     5.54677   0.0288194   0.0211529
          18     5.77317  0.00208333  0.00139236
          18     5.99957           0           0
          18     6.22597           0           0
          18     6.45237           0           0
          18     6.67877           0           0
          19    0.113199    0.258342   0.0433412
          19    0.339598     1.55645    0.116799
          19    0.565997     3.77013    0.192702
          19    0.792396     6.29039    0.344341
          19      1.0188     8.60705    0.272047
          19     1.24519     11.5792    0.386192
          19     1.47159     11.9289    0.257615
          19     1.69799     12.4953    0.305469
          19     1.92439     11.1946    0.277696
          19     2.15079     10.1382    0.324116
          19     2.37719     7.95504    0.275902
          19     2.60359     6.86671    0.318229
          19     2.82999     5.09413    0.219172
          19     3.05639     3.71053    0.200664
          19     3.28278     2.35763    0.141976
          19     3.50918      1.5725    0.152693
          19     3.73558     1.12792    0.111183
          19     3.96198    0.549421   0.0727659
          19     4.18838    0.405158   0.0592591
          19     4.41478    0.116539   0.0259079
          19     4.64118   0.0826579   0.0281595
          19     4.86758    0.152697   0.0565959
          19     5.09398       0.122   0.0477539
          19     5.32037   0.0390921   0.0225302
          19     5.54677   0.0273026   0.0200939
          19     5.77317  0.00197368  0.00132339
          19     5.99957           0           0
          19     6.22597           0           0
          19     6.45237           0           0
          19     6.67877           0           0
          20    0.113199    0.253387   0.0414563
          20    0.339598     1.51136    0.119344
          20    0.565997     3.72515    0.188243
          20    0.792396     6.27141    0.327647
          20      1.0188     8.67781    0.267489
          20     1.24519     11.5427    0.368608
          20     1.47159     12.1219    0.308649
          20     1.69799     12.5249    0.291627
          20     1.92439     11.1794    0.264228
          20     2.15079     10.0968    0.310545
          20     2.37719     7.90205    0.267147
          20     2.60359     6.85143    0.302685
          20     2.82999     5.03661    0.215629
          20     3.05639     3.72114    0.190911
          20     3.28278     2.41054    0.144399
          20     3.50918     1.57614    0.145102
          20     3.73558     1.12503    0.105662
          20     3.96198     0.54845   0.0691341
          20     4.18838    0.385625   0.0594282
          20     4.41478    0.125375   0.0260757
          20     4.64118      0.0849   0.0268407
          20     4.86758     0.14705   0.0540472
          20     5.09398      0.1159   0.0457541
          20     5.32037   0.0371375   0.0214883
          20     5.54677   0.0259375   0.0191355
          20     5.77317    0.001875  0.00126089
          20     5.99957           0           0
          20     6.22597           0           0
          20     6.45237           0           0
          20     6.67877           0           0
