#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
          12     1.92439     9.07298    0.493913
          12     2.15079     9.30929     0.39571
          12     2.37719     10.6768     1.59362
          12     2.60359     9.74983     1.24961
          12     2.82999      8.3459    0.397063
          12     3.05639      5.9585    0.324443
          12     3.28278     5.48527    0.380654
          12     3.50918     4.35796    0.253046
          12     3.73558     3.43873    0.293499
          12     3.96198     2.54037    0.165371
          12     4.18838     1.89331    0.143504
          12     4.41478     1.32456    0.140882
          12     4.64118       1.074    0.180281
          12     4.86758    0.605333    0.100576
          12     5.09398    0.404917   0.0949956
          12     5.32037    0.292063   0.0754423
          12     5.54677    0.145792   0.0391014
          12     5.77317   0.0689375   0.0286757
          12     5.99957   0.0267708   0.0134235
          12     6.22597           0           0
          12     6.45237           0           0
          12     6.67877           0           0
          13    0.113199   0.0790192    0.025189
          13    0.339598    0.735058    0.101133
          13    0.565997      1.6156    0.105142
          13    0.792396     3.30088    0.261137
          13      1.0188     4.45946    0.386731
          13     1.24519     6.04671    0.440608
          13     1.47159     7.88717     0.52069
          13     1.69799      9.0351    0.341612
          13     1.92439     9.15165    0.462144
          13     2.15079     9.41146    0.378231
          13     2.37719     10.6905     1.47109
          13     2.60359     9.60488     1.16186
          13     2.82999     8.18985    0.395999
          13     3.05639     6.07802    0.320746
          13     3.28278     5.52444    0.353383
          13     3.50918     4.41288    0.239468
          13     3.73558     3.42383      0.2713
          13     3.96198     2.52285    0.153576
          13     4.18838     1.85277    0.138074
          13     4.41478     1.25867    0.144634
          13     4.64118     1.10785    0.169561
          13     4.86758    0.689769    0.123289
          13     5.09398     0.40375   0.0876954
          13     5.32037    0.293615    0.069655
          13     5.54677    0.134712   0.0376308
          13     5.77317   0.0638269   0.0269214
          13     5.99957   0.0256346   0.0124389
          13     6.22597           0           0
          13     6.45237           0           0
          13     6.67877           0           0
          14    0.113199         0.1   0.0309166
          14    0.339598    0.729661   0.0940528
          14    0.565997     1.68225    0.116865
          14    0.792396     3.31775    0.243028
          14      1.0188     4.46561    0.359156
          14     1.24519     6.09704       0.412
          14     1.47159     7.91261    0.484119
          14     1.69799     8.83275    0.372347
          14     1.92439     9.17761    0.429861
          14     2.15079     9.32648    0.360634
          14     2.37719      10.549     1.37281
          14     2.60359     9.52455     1.08165
          14     2.82999     8.26829    0.375401
          14     3.05639     6.21279    0.324916
          14     3.28278     5.61496    0.339537
          14     3.50918     4.44354    0.224316
          14     3.73558     3.51286    0.266129
          14     3.96198     2.62336    0.172387
          14     4.18838     1.79596    0.139408
          14     4.41478     1.19196    0.148895
          14     4.64118     1.03732     0.17149
          14     4.86758    0.641125    0.123707
          14     5.09398    0.375625   0.0858231
          14     5.32037    0.284518   0.0652711
          14     5.54677    0.136214   0.0349728
          14     5.77317   0.0746964   0.0271041
          14     5.99957   0.0556786   0.0311701
          14     6.22597   0.0157857   0.0152115
          14     6.45237           0           0
          14     6.67877           0           0
          15    0.113199   0.0963833   0.0290662
          15    0.339598    0.728567   0.0877889
          15    0.565997     1.69555    0.109828
          15    0.792396     3.36815    0.231993
          15      1.0188     4.62833    0.370246
          15     1.24519     6.16462    0.390037
          15     1.47159     7.84117    0.457085
          15     1.69799     8.89485    0.352664
          15     1.92439      9.0863    0.410787
          15     2.15079     9.15525    0.375047
          15     2.37719     10.4876     1.28266
          15     2.60359     9.35278     1.02308
          15     2.82999      8.3319    0.355724
          15     3.05639     6.29387    0.313208
          15     3.28278     5.63535    0.317513
          15     3.50918      4.4303    0.209752
          15     3.73558     3.56355    0.253169
          15     3.96198     2.59463     0.16327
          15     4.18838     1.81837    0.131902
          15     4.41478     1.17387    0.140064
          15     4.64118     1.03823     0.16006
          15     4.86758    0.682267     0.12211
          15     5.09398      0.3917   0.0815931
          15     5.32037    0.275083   0.0615978
          15     5.54677      0.1331   0.0327797
          15     5.77317      0.0715   0.0254849
          15     5.99957   0.0519667   0.0293123
          15     6.22597   0.0147333   0.0142338
          15     6.45237           0           0
          15     6.67877           0           0
          16    0.113199   0.0911406   0.0277184
          16    0.339598    0.765937   0.0899051
          16    0.565997     1.72669    0.107287
          16    0.792396     3.32408     0.22164
          16      1.0188     4.63297    0.347134
          16     1.24519     6.08469     0.37376
          16     1.47159      7.7853    0.431918
          16     1.69799     8.96392    0.337319
          16     1.92439     9.15733    0.391205
          16     2.15079     9.21902    0.356986
          16     2.37719     10.3468     1.21019
          16     2.60359     9.48802    0.968038
          16     2.82999     8.22525    0.349113
          16     3.05639      6.3105    0.294074
          16     3.28278     5.62841    0.297744
          16     3.50918     4.45963    0.198682
          16     3.73558       3.523    0.240572
          16     3.96198     2.61927    0.154913
          16     4.18838     1.80881    0.124003
          16     4.41478     1.19336    0.132659
          16     4.64118     1.01416    0.151856
          16     4.86758    0.659906    0.116507
          16     5.09398    0.414469    0.079607
          16     5.32037    0.270328   0.0579312
          16     5.54677    0.133266   0.0307314
          16     5.77317   0.0855781   0.0275071
          16     5.99957   0.0535156   0.0275212
          16     6.22597   0.0141875   0.0133546
          16     6.45237  0.00046875 0.000453865
          16     6.67877           0           0
          17    0.113199   0.0888676   0.0261809
          17    0.339598    0.764544   0.0846274
          17    0.565997     1.74159    0.102005
          17    0.792396     3.29607    0.210365
          17      1.0188     4.63731    0.326742
          17     1.24519     6.21737    0.374584
          17     1.47159     7.72751    0.410358
          17     1.69799     8.96751    0.317496
          17     1.92439     9.20829    0.371498
          17     2.15079     9.22262    0.336005
          17     2.37719     10.3187     1.13933
          17     2.60359     9.44554    0.912026
          17     2.82999      8.1771     0.33188
          17     3.05639     6.27104     0.27941
          17     3.28278     5.53872    0.293427
          17     3.50918     4.51346     0.19415
          17     3.73558     3.55587    0.228655
          17     3.96198      2.6054     0.14642
          17     4.18838     1.83663    0.119789
          17     4.41478     1.21125    0.126056
          17     4.64118    0.996632    0.143931
          17     4.86758    0.661779    0.109669
          17     5.09398    0.426971   0.0758996
          17     5.32037    0.283088   0.0559111
          17     5.54677    0.138632   0.0293885
          17     5.77317   0.0833382     0.02598
          17     5.99957   0.0503676   0.0260817
          17     6.22597   0.0133529   0.0125951
          17     6.45237 0.000441176 0.000428004
          17     6.67877           0           0
          18    0.113199   0.0868194   0.0248064
          18    0.339598    0.742944   0.0826364
