#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         227        -0.2   -0.455161  0.00847134
         228     -0.3608   -0.454747  0.00844428
         229     -0.4456   -0.454707   0.0084075
         230     -0.5224   -0.455002   0.0083761
         231     -0.5184   -0.455276  0.00834433
         232     -0.4376     -0.4552  0.00830871
         233     -0.6768   -0.456151  0.00832731
         234      -0.512    -0.45639  0.00829514
         235      -0.436   -0.456303   0.0082603
         236     -0.3552   -0.455875   0.0082364
         237      -0.356   -0.455453  0.00821242
         238     -0.5256   -0.455748   0.0081832
         239      -0.444   -0.455699  0.00814911
         240     -0.2816   -0.454973  0.00814738
         241       -0.28   -0.454247  0.00814586
         242      -0.436   -0.454172  0.00811254
         243     -0.2752   -0.453435  0.00811252
         244     -0.4424    -0.45339   0.0080794
         245     -0.5184   -0.453656  0.00805078
         246      -0.436   -0.453584  0.00801837
         247     -0.4328     -0.4535  0.00798635
         248     -0.3576   -0.453113   0.0079635
         249     -0.5176   -0.453372  0.00793573
         250     -0.5144   -0.453616  0.00790774
         251      -0.592   -0.454167  0.00789543
         252      -0.592   -0.454714  0.00788303
         253     -0.5992   -0.455285  0.00787253
         254     -0.5176   -0.455531  0.00784535
         255     -0.3608   -0.455159  0.00782338
         256     -0.4392   -0.455097  0.00779307
         257        -0.6   -0.455661  0.00778311
         258     -0.3576   -0.455281  0.00776222
         259     -0.5168   -0.455518  0.00773589
         260     -0.5192   -0.455763  0.00771001
         261     -0.5984    -0.45631  0.00769981
         262     -0.5984   -0.456852   0.0076895
         263       -0.44   -0.456788  0.00766053
         264     -0.2792   -0.456115  0.00766099
         265     -0.4432   -0.456066  0.00763223
         266     -0.5272   -0.456334  0.00760823
         267      -0.124   -0.455089  0.00768087
         268     -0.2872   -0.454463  0.00767771
         269     -0.4432   -0.454421  0.00764929
         270     -0.6024   -0.454969  0.00764057
         271     -0.2024   -0.454037    0.007669
         272      -0.364   -0.453706  0.00764795
         273     -0.5232    -0.45396  0.00762417
         274     -0.4416   -0.453915  0.00759648
         275      -0.444   -0.453879  0.00756894
         276     -0.4456   -0.453849  0.00754158
         277     -0.4472   -0.453825  0.00751439
         278     -0.3648   -0.453505  0.00749418
         279      -0.364   -0.453184  0.00747418
         280     -0.3648   -0.452869  0.00745415
         281     -0.6856   -0.453697  0.00747349
         282     -0.6848   -0.454516  0.00749179
         283     -0.5264    -0.45477  0.00746962
         284     -0.5296   -0.455034  0.00744796
         285     -0.4464   -0.455004  0.00742189
         286     -0.2848   -0.454408  0.00741976
         287     -0.4408   -0.454361  0.00739406
         288     -0.5208   -0.454592  0.00737199
         289       -0.44   -0.454541  0.00734665
         290     -0.3608   -0.454218  0.00732842
         291     -0.3624   -0.453902  0.00731003
         292     -0.2808    -0.45331  0.00730899
         293     -0.3608   -0.452994  0.00729087
         294        -0.2   -0.452133  0.00731667
         295     -0.5256   -0.452382  0.00729611
         296      -0.444   -0.452354  0.00727151
         297      -0.444   -0.452326  0.00724708
         298     -0.2832   -0.451758  0.00724495
         299       -0.44   -0.451719  0.00722083
         300     -0.3568   -0.451403  0.00720369
         301     -0.4368   -0.451354  0.00717992
         302     -0.5176   -0.451574   0.0071595
         303     -0.4408   -0.451538  0.00713596
         304     -0.4456   -0.451518  0.00711251
         305      -0.524   -0.451756  0.00709316
         306     -0.3576   -0.451448  0.00707665
         307     -0.4376   -0.451403  0.00705374
         308     -0.5176   -0.451618  0.00703411
         309     -0.4344   -0.451562  0.00701157
         310      -0.356   -0.451254  0.00699572
         311     -0.4336   -0.451197  0.00697346
         312     -0.5944   -0.451656   0.0069662
         313     -0.4376   -0.451612  0.00694409
         314      -0.516   -0.451817    0.006925
         315     -0.2784   -0.451266  0.00692486
         316       -0.44    -0.45123  0.00690304
         317     -0.4344   -0.451177  0.00688147
         318      -0.512   -0.451369  0.00686249
         319     -0.6728   -0.452063  0.00687599
         320     -0.5136   -0.452255  0.00685719
