#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
          47 9.76739e+08 9.76739e+08     3.69012
          48 9.76739e+08 9.76739e+08     3.26599
          49 9.76739e+08 9.76739e+08     3.23249
          50 9.76739e+08 9.76739e+08     2.77128
          51 9.76739e+08 9.76739e+08     2.74398
          52 9.76739e+08 9.76739e+08      2.2188
          53 9.76739e+08 9.76739e+08     2.19777
          54 9.76739e+08 9.76739e+08      1.5396
          55 9.76739e+08 9.76739e+08     1.52554
          56 9.76739e+08 9.76739e+08     1.51186
          57 9.76739e+08 9.76739e+08           0
          58 9.76739e+08 9.76739e+08           0
          59 9.76739e+08 9.76739e+08           0
          60 9.76739e+08 9.76739e+08     1.46059
          61 9.76739e+08 9.76739e+08     1.44857
          62 9.76739e+08 9.76739e+08     1.43684
          63 9.76739e+08 9.76739e+08     2.01581
          64 9.76739e+08 9.76739e+08           2
          65 9.76739e+08 9.76739e+08     1.98456
          66 9.76739e+08 9.76739e+08     2.41209
          67 9.76739e+08 9.76739e+08     2.39402
          68 9.76739e+08 9.76739e+08     2.37635
          69 9.76739e+08 9.76739e+08     2.35907
          70 9.76739e+08 9.76739e+08     2.70449
          71 9.76739e+08 9.76739e+08     2.68538
          72 9.76739e+08 9.76739e+08     3.26599
          73 9.76739e+08 9.76739e+08     3.74532
          74 9.76739e+08 9.76739e+08     3.71992
          75 9.76739e+08 9.76739e+08     4.33282
          76 9.76739e+08 9.76739e+08     4.67918
          77 9.76739e+08 9.76739e+08      4.9935
          78 9.76739e+08 9.76739e+08      5.1241
          79 9.76739e+08 9.76739e+08     5.09157
          80 9.76739e+08 9.76739e+08     5.51362
          81 9.76739e+08 9.76739e+08     5.76066
          82 9.76739e+08 9.76739e+08     5.72542
          83 9.76739e+08 9.76739e+08     5.95566
          84 9.76739e+08 9.76739e+08     6.17213
          85 9.76739e+08 9.76739e+08     6.13572
          86 9.76739e+08 9.76739e+08     6.33925
          87 9.76739e+08 9.76739e+08     6.53197
          88 9.76739e+08 9.76739e+08     6.49475
          89 9.76739e+08 9.76739e+08     6.67715
          90 9.76739e+08 9.76739e+08     6.63995
          91 9.76739e+08 9.76739e+08     6.81305
