#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         227           0   0.0532159   0.0115553
         228        0.04   0.0531579   0.0115047
         229        0.28   0.0541485    0.011497
         230        0.12   0.0544348   0.0114506
         231       -0.08   0.0538528   0.0114158
         232       -0.12   0.0531034   0.0113912
         233       -0.16   0.0521888    0.011379
         234        -0.4   0.0502564   0.0114933
         235        -0.2   0.0491915   0.0114936
         236       -0.24   0.0479661     0.01151
         237        -0.2   0.0469198   0.0115089
         238        0.28   0.0478992   0.0115021
         239         0.2   0.0485356   0.0114716
         240        0.08   0.0486667   0.0114246
         241           0   0.0484647   0.0113789
         242        -0.2    0.047438   0.0113781
         243       -0.24   0.0462551   0.0113926
         244        0.12   0.0465574   0.0113499
         245       -0.08   0.0460408   0.0113154
         246        -0.2   0.0450407   0.0113135
         247       -0.36   0.0434008   0.0113859
         248       -0.12   0.0427419    0.011359
         249       -0.12   0.0420884   0.0113322
         250       -0.28      0.0408   0.0113599
         251        -0.4   0.0390438   0.0114496
         252        -0.4   0.0373016   0.0115359
         253       -0.04    0.036996   0.0114944
         254       -0.12    0.036378   0.0114657
         255        0.04   0.0363922   0.0114208
         256       -0.04   0.0360938   0.0113801
         257           0   0.0359533   0.0113366
         258       -0.12   0.0353488   0.0113088
         259       -0.16   0.0345946   0.0112903
         260       -0.04   0.0343077   0.0112505
         261       -0.08   0.0338697   0.0112159
         262       -0.08   0.0334351   0.0111815
         263           0    0.033308   0.0111397
         264       -0.04   0.0330303    0.011101
         265        0.16   0.0335094   0.0110694
         266        0.36   0.0347368   0.0110957
         267         0.2   0.0353558   0.0110714
         268        0.36   0.0365672   0.0110961
         269        0.16    0.037026   0.0110643
         270        0.12   0.0373333   0.0110276
         271        0.12   0.0376384   0.0109912
         272         0.2   0.0382353    0.010967
         273        0.16   0.0386813   0.0109358
         274        0.08   0.0388321    0.010897
         275         0.2   0.0394182   0.0108731
         276        0.28   0.0402899   0.0108686
         277        0.36    0.041444   0.0108905
         278        0.24   0.0421583   0.0108747
         279         0.2    0.042724   0.0108504
         280        0.24   0.0434286   0.0108345
         281        0.28   0.0442705   0.0108286
         282        0.24   0.0449645   0.0108124
         283        0.32   0.0459364   0.0108178
         284        0.48   0.0474648   0.0108872
         285        0.32   0.0484211   0.0108909
         286        0.24   0.0490909   0.0108734
         287        0.04   0.0490592   0.0108355
         288        0.04   0.0490278    0.010798
         289           0   0.0488581   0.0107619
         290        0.04   0.0488276   0.0107249
         291        0.12   0.0490722   0.0106908
         292        0.04   0.0490411   0.0106542
         293        0.04   0.0490102   0.0106179
         294           0   0.0488435   0.0105831
         295        0.28   0.0496271   0.0105762
         296         0.2   0.0501351   0.0105527
         297         0.2   0.0506397   0.0105292
         298        0.16   0.0510067   0.0105002
         299           0   0.0508361   0.0104665
         300       -0.16   0.0501333   0.0104552
         301       -0.16   0.0494352   0.0104437
         302       -0.12   0.0488742   0.0104242
         303        0.04   0.0488449   0.0103899
         304        0.28   0.0496053   0.0103835
         305         0.2   0.0500984   0.0103611
         306       -0.12   0.0495425   0.0103422
         307       -0.12   0.0489902   0.0103232
         308       -0.12   0.0484416   0.0103043
         309       -0.28   0.0473786   0.0103256
         310        -0.2   0.0465806   0.0103231
         311       -0.32   0.0454019    0.010357
         312       -0.28    0.044359   0.0103761
         313       -0.12   0.0438339   0.0103563
         314        -0.2   0.0430573   0.0103524
         315       -0.08   0.0426667   0.0103269
         316           0   0.0425316   0.0102951
         317       -0.28   0.0415142   0.0103127
         318        -0.4   0.0401258   0.0103734
         319       -0.36   0.0388715   0.0104164
         320       -0.32     0.03775    0.010444
         321       -0.44   0.0362617    0.010517
         322       -0.48   0.0346584   0.0106059
         323       -0.36   0.0334365   0.0106432
         324       -0.52   0.0317284   0.0107465
         325        -0.6   0.0297846   0.0108878
         326        -0.6   0.0278528   0.0110245
         327       -0.56    0.026055   0.0111364
         328        -0.4   0.0247561   0.0111779
         329       -0.28   0.0238298   0.0111823
         330       -0.08   0.0235152   0.0111528
         331           0   0.0234441   0.0111193
         332       -0.04    0.023253   0.0110875
         333       -0.12   0.0228228   0.0110625
         334       -0.12   0.0223952   0.0110377
         335       -0.16   0.0218507   0.0110181
         336       -0.08   0.0215476   0.0109895
         337        0.12   0.0218398   0.0109608
         338        0.16   0.0222485    0.010936
         339         0.2   0.0227729   0.0109163
         340        0.24   0.0234118   0.0109029
         341        0.08   0.0235777   0.0108721
         342        0.16   0.0239766   0.0108477
         343        0.24   0.0246064   0.0108343
         344        0.12   0.0248837   0.0108064
         345       -0.04   0.0246957   0.0107767
         346       -0.32   0.0236994   0.0107915
         347       -0.32   0.0227089   0.0108057
         348       -0.16   0.0221839   0.0107874
         349       -0.32   0.0212034    0.010801
         350       -0.28   0.0203429   0.0108044
         351        0.04   0.0203989   0.0107737
         352        0.08   0.0205682   0.0107445
         353           0   0.0205099   0.0107142
         354       -0.08    0.020226   0.0106877
         355       -0.12    0.019831   0.0106649
         356       -0.16   0.0193258   0.0106469
         357       -0.08   0.0190476   0.0106207
         358       -0.04   0.0188827   0.0105923
         359       -0.04   0.0187187   0.0105641
         360           0   0.0186667   0.0105348
         361       -0.08   0.0183934   0.0105092
         362       -0.36   0.0173481    0.010532
         363        -0.6   0.0156474   0.0106394
         364       -0.44   0.0143956   0.0106836
         365       -0.32   0.0134795   0.0106935
         366       -0.08    0.013224   0.0106674
         367       -0.16    0.012752   0.0106487
         368        -0.2   0.0121739   0.0106355
         369        -0.4   0.0110569   0.0106651
         370       -0.56  0.00951351   0.0107474
         371       -0.64   0.0077628   0.0108601
         372        -0.4  0.00666667   0.0108861
         373       -0.16  0.00621984   0.0108661
         374       -0.08   0.0059893   0.0108395
         375        0.16      0.0064   0.0108183
         376         0.2  0.00691489   0.0108018
         377        0.16  0.00732095   0.0107808
         378        0.28  0.00804233   0.0107764
         379        0.32  0.00886544   0.0107793
         380        0.12  0.00915789   0.0107549
         381        0.12  0.00944882   0.0107306
         382        0.32   0.0102618   0.0107333
         383        0.36   0.0111749    0.010744
         384        0.36   0.0120833   0.0107544
         385        0.52   0.0134026   0.0108071
         386        0.08   0.0135751   0.0107805
         387        0.36   0.0144703   0.0107897
         388        0.36   0.0153608   0.0107986
         389        0.36   0.0162468   0.0108071
         390        0.16   0.0166154   0.0107857
         391        0.04   0.0166752   0.0107583
         392       -0.08   0.0164286   0.0107336
         393        -0.2   0.0158779   0.0107205
         394       -0.12    0.015533   0.0106988
         395       -0.24   0.0148861   0.0106912
         396       -0.08   0.0146465   0.0106669
         397       -0.04   0.0145088   0.0106409
         398        -0.2   0.0139698   0.0106279
         399        -0.2   0.0134336   0.0106147
         400        0.16      0.0138   0.0105945
         401       -0.04   0.0136658    0.010569
         402       -0.24   0.0130348   0.0105615
         403       -0.28   0.0123077   0.0105603
         404       -0.24   0.0116832   0.0105526
         405       -0.16   0.0112593    0.010535
         406        -0.2   0.0107389   0.0105219
         407       -0.08    0.010516   0.0104984
         408        -0.2        0.01   0.0104854
         409       -0.32  0.00919315   0.0104907
         410       -0.12  0.00887805   0.0104699
         411        0.12  0.00914842   0.0104479
         412        0.04   0.0092233   0.0104228
         413        -0.4  0.00823245   0.0104446
         414       -0.56   0.0068599   0.0105091
         415       -0.52  0.00559036   0.0105602
         416        -0.4  0.00461538   0.0105797
         417       -0.32  0.00383693    0.010583
         418       -0.28  0.00315789   0.0105794
         419       -0.04  0.00305489   0.0105547
         420       -0.16  0.00266667   0.0105367
         421       -0.08  0.00247031   0.0105135
         422        -0.2  0.00199052   0.0104995
         423       -0.28  0.00132388   0.0104958
         424       -0.28 0.000660377    0.010492
         425       -0.32-9.41176e-05   0.0104944
         426       -0.28-0.000751174   0.0104903
         427           0-0.000749415   0.0104658
         428           0-0.000747664   0.0104413
         429       -0.16 -0.00111888   0.0104236
         430       -0.12 -0.00139535    0.010403
         431       -0.24 -0.00194896   0.0103936
         432       -0.28 -0.00259259   0.0103894
         433       -0.08 -0.00277136    0.010367
         434        0.04 -0.00267281   0.0103436
         435        0.24 -0.00211494   0.0103348
         436        0.24 -0.00155963    0.010326
         437         0.2  -0.0010984   0.0103127
         438        0.16-0.000730594   0.0102957
         439         0.2-0.000273349   0.0102824
         440        0.28 0.000363636   0.0102787
         441         0.4  0.00126984   0.0102953
         442         0.4  0.00217195   0.0103115
         443        0.36  0.00297968   0.0103198
